,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
33074,2004-03-10 23:00:00,uk/england,,,other,120,2 minutes,Huge &quot;wing&quot; like shapewith a row of green lights along the back and no sounds at all even as low as 100ft,10/27/2004,52.355518,-1.17432
33208,2014-03-10 19:50:00,tehran (iran),,,teardrop,300,5 minutes,First thought that it&#8217;s a lantern-kite/balloon with a flame burning inside&#44 it was about an hour and half after dark in Tehran.,3/18/2014,35.696111,51.423056
33211,2014-03-10 20:05:00,sheffield,,,,10,10 seconds,5 red dots traveling very low and ver fast clear night sky but could only see the red dots . Traveling in a line the furthest dot to t,3/18/2014,0,0.0
33280,2003-03-11 23:23:00,uk/england,,,teardrop,0,,I was walking along the seafront at around quater past eleven and i noticed it was a particularly clear night so i sat down and watched,3/21/2003,52.355518,-1.17432
33342,2008-03-11 21:45:00,noordhoek&#44 cape town (south africa),,,other,5,5s,Abrupt course correction,3/31/2008,-34.094754,18.394966
33361,2011-03-11 11:00:00,japan,,,teardrop,13,13 seconds,The link is to a CNN video and about 1:29 minutes in the UFO can be seen lifting up and moving rapidly.,3/23/2011,36.204824,138.252924
33373,2012-03-11 00:30:00,ath,,,chevron,30,00:30,VERY large Chevron shaped craft&#44 low to ground&#44 no noise&#44 no lights. Visual contact for 30 seconds.,5/13/2012,52.991834,-6.985728
33400,2014-03-11 22:00:00,tehran (iran),,,circle,0,,Red big circle at the sky&#44 may be at the half size of the full moon&#33,3/18/2014,35.696111,51.423056
33539,2004-03-01 19:25:00,shahrekord (iran),,,light,120,2 min,It was a line in the sky &#44 a very bright light and it was crossing the sky from east to west . very wonderful.,4/27/2004,32.325556,50.864444
33581,2007-03-01 20:50:00,waterford (republic of ireland),,,light,300,5mins,I witnessed a bright light in the sky over waterford city on the 01/03/07 fitting the exact description of an earlier sighting posted b,03/08/2007,0,0.0
33606,2009-03-01 22:00:00,iraq (above a u. s. military camp),,,triangle,3600,30-60 minutes,Very large&#44 triangular shaped&#44 hovered for about 30-to 45 minutes over a camp in Iraq.No sound many witnesses.,10/30/2012,33.223191,43.679291
33618,2010-03-01 23:00:00,peten (guatamala),,,light,60,1 minute,still bright yellow light  high up over Peten&#44 Guatemala,8/24/2010,16.912033,-90.299578
33655,2013-03-01 18:00:00,varanasi (andaman &amp;nicobar islands) (india),,,cylinder,180,3 minutes,Bright cylindrical silent object hovering over Varanasi&#44 India.,03/03/2013,25.317645,82.973914
33683,2014-03-01 21:15:00,melkbosstrand (south africa),,,cross,15,15 seconds,UFO in Cape Town SA from west to east sharp edges cross shaped orange&#44,3/18/2014,-33.719294,18.454311
33808,2006-03-12 05:20:00,padukka (sri lanka),,,other,2700,45 minuts,It&#39s look like a rotating spiral 2 arams.we saw it move between contellation sentaurs to saggitarius.we saw it apear in about 5,5/15/2006,6.845363,80.103772
33855,2011-03-12 05:45:00,reno,,,diamond,120,1-2 minutes,Small diamond shaped craft with streaking blue lights tailing it as it moved in and out of a single cloud in South Reno Nevada&#33,5/13/2012,0,0.0
33895,2014-03-12 20:00:00,geldrop (the netherlands),,,unknown,3600,>1 hour,A multi colored flashing&#44 slow moving object&#44 high in the sky.  ((NUFORC Note:  Possible sighting of Sirius?  PD)),3/18/2014,51.422892,5.557136
33982,1998-03-13 19:00:00,caribbean sea (u.s. navy ship),,,formation,120,2 min,Saw  the same object &#44 twice&#44 out to sea &#44 while serving in U.S. Navy.,06/04/2004,14.540111,-74.967637
33983,1998-03-13 20:00:00,caribbean sea (u.s. navy ship),,,formation,120,2 min,Saw  the same object &#44 twice&#44 out to sea &#44 while serving in U.S. Navy.,06/04/2004,14.540111,-74.967637
34030,2003-03-13 09:00:00,pietermaritzburg (closest city) (south africa),,,disk,1800,30 minutes,Stationary light hovering at great altitude during daylight hours and then accelerating to great speed in a westerly direction.,3/21/2003,-29.600607,30.379412
34031,2003-03-13 13:25:00,caracas (venezuela),,,formation,180,3:00 min,I spotted what I thought it was some kind of aircraft&#44 but it was so bright like a big star/planet&#44it disappear in a blink,3/21/2003,10.5,-66.916667
34041,2004-03-13 14:00:00,panama,,,sphere,300,5 minutes,UFO at the PANAMA CITY BAY.,2/14/2006,0,0.0
34136,2011-03-13 20:30:00,tehran (iran),,,light,1800,30 minutes,A flying Orange Light in the cloudy sky of Tehran in 03/13/2011,3/23/2011,35.696111,51.423056
34173,2014-03-13 04:00:00,ensenada (baja california)(mexico),,,light,7200,2 hours,Static light over the city&#44 it was lowering and raising its brightness intensity.  ((NUFORC Note:  Possible sighting of Venus?  PD)),3/18/2014,31.866743,-116.596371
34451,1992-03-15 23:00:00,leirfjord (over) (norway),,,flash,300,5 minutes,single flashing light&#44 suddenly hundreds or thousands of flashes&#44 then back to one single,01/10/2009,66.065032,12.946114
34459,1994-03-15 01:00:00,howard afb panama  canal,,,fireball,2,2 seconds,Streak of colors  come together in the skys over Howard AFB Panama Canal.,12/02/2000,9.111086,-79.699318
34486,1996-03-15 02:00:00,manton,,,unknown,0,,I was frozen in my bed...terrified.  Little people came.   White..big eyes.  Horrified.  Repetitively.  Feared.  Made myself forget.  I,06/02/2013,0,0.0
34487,1996-03-15 03:00:00,san felipe (driving south to) (mexico),,,diamond,900,15 min.,While traveling to San Felipe for a fishing trip Three Immigration Inspectors and myself a Customs Inspector spotted a &quot;diamond&quot; to the,11/20/2002,10.340556,-68.736944
34508,1998-03-15 18:00:00,atlantic ocean (around bermuda/cariibbean),,,other,60,1min,While serving in the U.S. navy out to sea&#44  I saw the same object twice and it seen me.,1/17/2004,-14.599413,-28.673147
34552,2001-03-15 18:00:00,singapore,,,teardrop,600,10 min,Two Dots,03/04/2003,1.352083,103.819836
